postcode sector,households,number of postcode units
MK41 9,3340,273
MK42 0,5204,386
MK42 6,394,89
MK42 7,3485,339
MK42 8,4423,317
MK42 9,5149,386
MK43 0,4695,391
MK43 7,3148,291
MK43 8,3042,313
MK43 9,2601,313
MK44 1,2262,260
MK44 2,1531,253
MK44 3,2949,332
MK45 1,5304,389
MK45 2,4350,391
MK45 3,2578,306
MK45 4,3846,325
MK45 5,2024,182
MK46 4,1435,152
MK46 5,2543,234
MK5  6,2054,211
MK5  7,2524,221
MK5  8,1267,167
MK6  2,3879,355
MK6  3,2304,215
MK6  4,2394,111
MK6  5,2216,134
MK7  6,1002,160
MK7  7,2936,263
MK7  8,2031,220
MK8  0,1731,202
MK8  8,1821,213
MK8  9,1200,131
MK9  2,1070,226
MK9  3,894,225
MK9  4,231,39
N1   0,4872,385
N1   1,4581,394
N1   2,5668,396
N1   3,4020,282
N1   4,4112,281
N1   5,4127,296
N1   6,3590,344
N1   7,5296,375
N1   8,3761,356
N1   9,3165,378
N10  1,3599,257
N10  2,4087,306
N10  3,4063,346
N11  1,3816,338
N11  2,4245,304
N11  3,3900,282
N12  0,3237,288
N12  7,2063,200
N12  8,3517,363
N12  9,2938,336
N13  4,5328,356
N13  5,4877,344
N13  6,2375,141
N14  4,4343,339
N14  5,2317,252
N14  6,2820,278
N14  7,2150,191
N15  3,4306,256
N15  4,4387,367
N15  5,3832,244
N15  6,4705,286
N16  0,3629,280
N16  5,5858,366
N16  6,4961,319
N16  7,4856,294
N16  8,4988,331
N16  9,2716,181
N17  0,4508,349
N17  6,8351,396
N17  7,3682,253
N17  8,3223,193
N17  9,4946,376
N18  1,5594,324
N18  2,5991,370
N19  3,5712,367
N19  4,4821,305
N19  5,5059,352
N2   0,4209,384
N2   8,2762,214
N2   9,3041,260
N20  0,4348,371
N20  8,1557,206
N20  9,1624,247
N21  1,3669,308
N21  2,2708,261
N21  3,3064,258
N22  5,5352,300
N22  6,5035,327
N22  7,3019,159
N22  8,4044,246
N3   1,3736,382
N3   2,3739,356
N3   3,3331,334
N4   1,5480,388
N4   2,7432,397
N4   3,5581,349
N4   4,3400,239
N5   1,5733,371
N5   2,5740,364
N6   4,2310,261
N6   5,5367,396
N6   6,1677,176
N7   0,5940,302
N7   6,3331,279
N7   7,3268,243
N7   8,5354,343
N7   9,4421,329
N8   0,4856,297
N8   7,4569,327
N8   8,3808,311
N8   9,4803,335
N9   0,4770,336
N9   7,3833,235
N9   8,4804,257
N9   9,6473,377
NE1  2,1490,172
NE1  3,452,143
NE1  4,1133,189
NE1  5,641,175
NE1  6,435,183
NE1  8,286,145
NE10 0,4533,319
NE10 8,7874,331
NE10 9,4438,265
NE11 0,1880,367
NE11 9,5508,342
NE12 5,844,61
NE12 6,3859,281
NE12 7,2289,148
NE12 8,4830,327
NE12 9,4338,272
NE13 6,2747,183
NE13 7,2465,207
NE13 8,465,56
NE13 9,408,85
NE15 0,988,101
NE15 6,2635,283
NE15 7,4063,230
NE15 8,4165,278
NE15 9,2797,249
NE16 3,1507,118
NE16 4,2970,240
NE16 5,4850,346
NE16 6,2315,190
NE17 7,2337,194
NE18 0,417,79
NE19 1,609,119
NE19 2,475,120
NE2  1,3891,256
NE2  2,2711,147
NE2  3,2594,124
NE2  4,1722,147
NE20 0,598,193
NE20 9,4529,357
NE21 4,2502,217
NE21 5,2389,284
NE21 6,2968,219
NE22 5,4169,275
NE22 6,2425,179
NE22 7,1516,152
NE23 1,1593,172
NE23 2,2349,120
NE23 3,2194,143
NE23 6,5242,330
NE23 7,4882,306
NE23 8,1114,113
NE24 1,1963,219
NE24 2,3096,213
NE24 3,4901,310
NE24 4,3262,280
NE24 5,4161,242
NE25 0,4449,274
NE25 8,3968,258
NE25 9,5080,298
NE26 1,2148,232
NE26 2,2141,183
NE26 3,2340,201
NE26 4,2062,131
NE27 0,5294,362
NE28 0,4010,176
NE28 6,2893,283
NE28 7,3870,250
NE28 8,4597,243
NE28 9,6063,348
NE29 0,3189,239
NE29 6,4300,290
NE29 7,3889,258
NE29 8,4023,246
NE29 9,1901,167
NE3  1,4197,369
NE3  2,6087,355
NE3  3,5045,338
NE3  4,4500,355
NE3  5,3422,237
NE30 1,881,189
NE30 2,3833,270
NE30 3,3800,211
NE30 4,2768,191
NE31 1,4662,331
NE31 2,4616,290
NE32 3,2506,287
NE32 4,4722,275
NE32 5,4384,279
NE33 1,811,252
NE33 2,2847,214
NE33 3,3944,204
NE33 4,3962,242
NE33 5,2512,201
NE34 0,5031,265
NE34 6,4153,205
NE34 7,5151,237
NE34 8,4762,242
NE34 9,5111,257
NE35 9,2909,154
NE36 0,3155,244
NE37 1,4043,326
NE37 2,3274,226
NE37 3,1931,144
NE38 0,4009,189
NE38 7,4108,290
NE38 8,3203,272
NE38 9,2185,123
NE39 1,1790,182
NE39 2,2033,182
NE4  5,3117,198
NE4  6,3419,216
NE4  7,1433,194
NE4  8,3085,205
NE4  9,4208,249
NE40 3,3457,280
NE40 4,3595,305
NE41 8,1001,114
NE42 5,2996,214
NE42 6,2437,205
NE43 7,1977,265
NE44 6,427,98
NE45 5,1811,225
NE46 1,1937,304
NE46 2,1918,205
NE46 3,1709,227
NE46 4,1540,257
NE47 0,458,84
NE47 5,403,84
NE47 6,1011,125
NE47 7,508,100
NE47 8,236,68
NE47 9,1039,203
NE48 1,426,128
NE48 2,912,165
NE48 3,533,152
NE48 4,265,48
NE49 0,579,174
NE49 9,1568,164
NE5  1,3886,278
NE5  2,6457,345
NE5  3,4449,291
NE5  4,3865,224
NE5  5,3167,156
NE6  1,1765,287
NE6  2,5766,343
NE6  3,3935,269
NE6  4,5500,295
NE6  5,6848,314
NE61 1,2027,304
NE61 2,4018,328
NE61 3,1667,274
NE61 4,602,137
NE61 5,3729,318
NE61 6,2237,326
NE62 5,4493,297
NE63 0,3997,241
NE63 8,3823,295
NE63 9,5276,375
NE64 6,3089,216
NE65 0,3877,376
NE65 7,2078,318
NE65 8,1019,175
NE65 9,2664,330
NE66 1,3439,310
NE66 2,1947,304
NE66 3,2446,310
NE66 4,844,176
NE66 5,196,37
NE67 5,871,128
NE68 7,1341,118
NE69 7,420,41
NE7  7,6408,374
NE70 7,1026,136
NE71 6,1740,209
NE8  1,2561,325
NE8  2,3915,297
NE8  3,4320,286
NE8  4,5872,269
NE9  5,4642,321
NE9  6,6997,344
NE9  7,5283,310
NG1  1,2379,240
NG1  3,1548,231
NG1  4,1231,153
NG1  5,875,206
NG1  6,167,199
NG1  7,382,141
NG10 1,3822,263
NG10 2,2143,124
NG10 3,6389,311
NG10 4,4911,269
NG10 5,4023,258
NG11 0,1115,96
NG11 6,3661,276
NG11 7,1987,138
NG11 8,5832,298
NG11 9,3934,191
NG12 1,1113,81
NG12 2,2961,231
NG12 3,4588,349
NG12 4,2113,168
NG12 5,3773,322
NG13 0,1979,170
NG13 8,5154,395
NG13 9,1884,215
NG14 5,1771,176
NG14 6,4263,290
NG14 7,2141,210
NG15 0,944,91
NG15 6,6316,350
NG15 7,6061,320
NG15 8,2253,164
NG15 9,2584,183
NG16 1,3925,228
NG16 2,7362,385
NG16 3,4953,313
NG16 4,2467,150
NG16 5,4428,234
NG16 6,5061,276
NG17 1,2772,207
NG17 2,6531,305
NG17 3,4033,189
NG17 4,4388,221
NG17 5,2793,184
NG17 7,4046,264
NG17 8,4845,302
NG17 9,2800,169
NG18 1,705,231
NG18 2,3827,246
NG18 3,5139,283
NG18 4,5779,377
NG18 5,3549,285
NG19 0,4907,265
NG19 6,5423,279
NG19 7,4077,275
NG19 8,4595,289
NG19 9,4303,268
NG2  1,1113,147
NG2  2,2624,151
NG2  3,1011,167
NG2  4,4918,277
NG2  5,3751,235
NG2  6,5462,338
NG2  7,6823,392
NG20 0,4025,276
NG20 8,4426,319
NG20 9,2952,217
NG21 0,5285,332
NG21 9,4338,272
NG22 0,3079,318
NG22 8,3252,320
NG22 9,5302,349
NG23 5,3101,306
NG23 6,2327,295
NG23 7,2181,242
NG24 1,3591,341
NG24 2,4501,319
NG24 3,6130,354
NG24 4,6551,341
NG25 0,3857,329
NG3  1,1768,124
NG3  2,2242,184
NG3  3,3286,163
NG3  4,2018,149
NG3  5,4575,360
NG3  6,5180,237
NG3  7,2925,123
NG31 6,2076,264
NG31 7,5942,362
NG31 8,6043,352
NG31 9,5728,331
NG32 1,1946,254
NG32 2,1571,204
NG32 3,2094,250
NG33 4,2128,250
NG33 5,2308,259
NG34 0,2658,283
NG34 7,5903,383
NG34 8,4834,378
NG34 9,5095,346
NG4  1,5848,281
NG4  2,4121,284
NG4  3,4547,284
NG4  4,3787,236
NG5  1,3981,265
NG5  2,2901,214
NG5  3,2166,144
NG5  4,4315,233
NG5  5,7573,340
NG5  6,5468,306
NG5  7,3360,209
NG5  8,5121,329
NG5  9,4270,238
NG6  0,4130,263
NG6  7,2013,98
NG6  8,7108,388
NG6  9,3862,187
NG7  1,4666,335
NG7  2,3386,362
NG7  3,2859,248
NG7  4,2100,138
NG7  5,3145,243
NG7  6,3612,225
NG7  7,2049,189
NG8  1,3915,209
NG8  2,4871,294
NG8  3,4226,256
NG8  4,3405,210
NG8  5,5355,285
NG8  6,4766,237
NG9  1,4632,262
NG9  2,5411,340
NG9  3,4938,300
NG9  4,2623,160
NG9  5,3603,212
NG9  6,3930,270
NG9  7,2653,159
NG9  8,4121,215
NN1  1,1102,308
NN1  2,1775,277
NN1  3,2969,226
NN1  4,4789,318
NN1  5,3724,288
NN10 0,6075,387
NN10 6,2394,151
NN10 8,3365,216
NN10 9,4848,377
NN11 0,2118,96
NN11 2,600,100
NN11 3,2786,287
NN11 4,5128,374
NN11 6,1332,327
NN11 7,814,71
NN11 8,629,108
NN11 9,2660,124
NN12 6,3383,284
NN12 7,2509,349
NN12 8,3946,395
NN13 5,2344,376
NN13 6,4207,304
NN13 7,1420,173
NN14 1,4269,340
NN14 2,4612,383
NN14 3,1915,174
NN14 4,4435,374
NN14 6,3530,204
NN15 5,6207,396
NN15 6,5855,386
NN15 7,2598,240
NN16 0,3668,247
NN16 8,3958,343
NN16 9,6299,362
NN17 1,4342,361
NN17 2,5320,313
NN17 3,1835,165
NN17 4,230,65
NN18 0,3850,232
NN18 8,5784,317
NN18 9,4075,216
NN2  6,4374,274
NN2  7,5781,300
NN2  8,6124,367
NN29 7,5058,331
NN3  2,4940,240
NN3  3,3852,323
NN3  5,3799,193
NN3  6,3259,291
NN3  7,2558,235
NN3  8,6382,324
NN3  9,4086,275
NN4  0,4429,394
NN4  5,1610,94
NN4  6,3986,255
NN4  7,280,175
NN4  8,6286,343
NN4  9,2305,354
NN5  4,1861,170
NN5  5,3392,220
NN5  6,7098,389
NN5  7,4572,300
NN6  0,3530,317
NN6  6,1308,150
NN6  7,3290,393
NN6  8,2263,259
NN6  9,3713,371
NN7  1,2070,181
NN7  2,2825,246
NN7  3,3337,270
NN7  4,3549,331
NN8  1,3316,309
NN8  2,4818,259
NN8  3,5361,389
NN8  4,4734,342
NN8  5,3104,166
NN9  5,6667,394
NN9  6,4810,376
NR1  1,3178,348
NR1  2,3991,293
NR1  3,2609,375
NR1  4,3527,216
NR10 3,4415,309
NR10 4,2454,278
NR10 5,2677,259
NR11 6,3750,360
NR11 7,1446,205
NR11 8,3625,289
NR12 0,2569,295
NR12 7,1534,175
NR12 8,3469,330
NR12 9,2805,295
NR13 3,3041,305
NR13 4,3044,309
NR13 5,3209,292
NR13 6,2273,277
NR14 6,3186,326
NR14 7,3574,351
NR14 8,3545,363
NR15 1,2864,327
NR15 2,3797,372
NR16 1,2311,264
NR16 2,2800,300
NR17 1,3003,366
NR17 2,3853,273
NR18 0,5573,377
NR18 9,1901,277
NR19 1,5065,344
NR19 2,4021,326
NR2  1,769,271
NR2  2,3528,229
NR2  3,5420,274
NR2  4,3667,289
NR20 3,3168,310
NR20 4,2977,323
NR20 5,2274,272
NR21 0,1798,227
NR21 7,1625,218
NR21 8,2447,213
NR21 9,2203,242
NR22 6,523,73
NR23 1,2120,246
NR24 2,2210,235
NR25 6,2957,295
NR25 7,2434,273
NR26 8,4670,327
NR27 0,2702,201
NR27 9,3827,240
NR28 0,4244,328
NR28 9,3896,331
NR29 3,3118,279
NR29 4,3903,301
NR29 5,2355,216
NR3  1,2925,325
NR3  2,3955,249
NR3  3,5322,290
NR3  4,4552,251
NR30 1,2159,236
NR30 2,2788,259
NR30 3,2029,204
NR30 4,3187,160
NR30 5,4280,278
NR31 0,3158,223
NR31 6,4155,288
NR31 7,4665,210
NR31 8,5906,286
NR31 9,4433,357
NR32 1,2188,270
NR32 2,4443,254
NR32 3,3800,231
NR32 4,5924,335
NR32 5,1649,188
NR33 0,4029,232
NR33 7,4600,271
NR33 8,5624,332
NR33 9,3858,230
NR34 0,1020,120
NR34 7,3502,294
NR34 8,1402,193
NR34 9,4414,323
NR35 1,2621,242
NR35 2,2303,264
NR4  6,4129,326
NR4  7,4286,310
NR5  0,3837,260
NR5  8,5193,270
NR5  9,3457,192
NR6  5,3209,227
NR6  6,3488,307
NR6  7,4131,232
NR7  0,5987,375
NR7  8,5009,346
NR7  9,3505,209
NR8  5,2033,132
NR8  6,6597,396
NR9  3,3295,267
NR9  4,2104,211
NR9  5,2123,268
NW1  0,2992,366
NW1  1,3259,379
NW1  2,710,277
NW1  3,2711,303
NW1  4,1609,383
NW1  5,1598,333
NW1  6,3243,322
NW1  7,3329,360
NW1  8,4013,390
NW1  9,4437,369
NW10 0,3881,313
NW10 1,3519,271
NW10 2,3363,301
NW10 3,3241,291
NW10 4,4056,320
NW10 5,5652,362
NW10 6,1229,309
NW10 7,1305,379
NW10 8,5164,395
NW10 9,3846,290
NW11 0,2231,264
NW11 6,2695,304
NW11 7,2335,334
NW11 8,2699,277
NW11 9,2492,313
NW2  1,3295,310
NW2  2,3017,279
NW2  3,4870,312
NW2  4,3507,284
NW2  5,4138,303
NW2  6,4181,385
NW2  7,3336,329
NW3  1,2427,314
NW3  2,6183,398
NW3  3,3829,304
NW3  4,4735,368
NW3  5,2617,356
NW3  6,2878,357
NW3  7,2273,308
NW4  1,2570,299
NW4  2,3009,308
NW4  3,3345,337
NW4  4,3169,358
NW5  1,3743,353
NW5  2,4458,353
NW5  3,1600,182
NW5  4,3706,231
NW6  1,5311,388
NW6  2,3102,225
NW6  3,3619,285
NW6  4,3490,307
NW6  5,4930,355
NW6  6,3855,297
NW6  7,6041,397
NW7  1,2476,327
NW7  2,2837,284
NW7  3,2379,307
NW7  4,2126,253
NW8  0,3358,270
NW8  6,2196,227
NW8  7,3036,270
NW8  8,4420,345
NW8  9,3765,338
NW9  0,3290,304
NW9  5,6077,390
NW9  6,2646,301
NW9  7,2650,259
NW9  8,3348,305
NW9  9,3302,283
OL1  2,3003,270
OL1  3,1688,310
OL1  4,3913,268
OL10 1,1710,229
OL10 2,3107,301
OL10 3,3636,244
OL10 4,4176,297
OL11 1,2210,272
OL11 2,4787,331
OL11 3,3702,270
OL11 4,3024,210
OL11 5,4927,347
OL12 0,2203,269
OL12 6,5239,346
OL12 7,4177,324
OL12 8,3447,279
OL12 9,4310,288
OL13 0,1924,246
OL13 8,2028,244
OL13 9,3132,299
OL14 5,2310,254
OL14 6,1669,249
OL14 7,1450,239
OL14 8,1952,226
OL15 0,1758,157
OL15 8,2310,241
OL15 9,2257,223
OL16 1,183,338
OL16 2,3457,306
OL16 3,3663,283
OL16 4,4932,343
OL16 5,2543,247
OL2  5,4583,316
OL2  6,5569,364
OL2  7,4794,313
OL2  8,3870,275
OL3  5,3270,341
OL3  6,1389,162
OL3  7,2153,226
OL4  1,3657,271
OL4  2,4296,270
OL4  3,2749,208
OL4  4,3308,249
OL4  5,4082,267
OL5  0,2476,213
OL5  9,2736,214
OL6  6,2507,317
OL6  7,1504,287
OL6  8,4307,323
OL6  9,4786,258
OL7  0,2690,285
OL7  9,4808,283
OL8  1,3393,319
OL8  2,3976,273
OL8  3,4487,289
OL8  4,3118,268
OL9  0,3553,230
OL9  6,2196,256
OL9  7,2538,260
OL9  8,4113,225
OL9  9,3956,308
OX1  1,1635,342
OX1  2,533,248
OX1  3,305,244
OX1  4,2418,292
OX1  5,2571,222
OX10 0,2534,283
OX10 6,2577,289
OX10 7,2170,212
OX10 8,1329,218
OX10 9,2307,312
OX11 0,2250,316
OX11 7,5308,380
OX11 8,3755,285
OX11 9,2466,262
OX12 0,2566,250
OX12 7,2176,225
OX12 8,2108,289
OX12 9,3924,394
OX13 5,1959,262
OX13 6,3198,330
OX14 1,4253,388
OX14 2,3184,251
OX14 3,3675,387
OX14 4,3222,357
OX14 5,4542,327
OX15 0,1156,152
OX15 4,2827,329
OX15 5,2377,305
OX15 6,1450,227
OX16 0,4353,318
OX16 1,4226,291
OX16 2,1389,152
OX16 3,2071,139
OX16 4,1684,120
OX16 5,1516,206
OX16 9,4635,383
OX17 1,1988,298
OX17 2,2774,278
OX17 3,2671,289
OX18 1,2786,226
OX18 2,2418,275
OX18 3,3676,316
OX18 4,1608,239
OX2  0,1867,276
OX2  6,3937,377
OX2  7,4031,372
OX2  8,2764,276
OX2  9,4010,349
OX20 1,2274,346
OX25 1,652,72
OX25 2,927,155
OX25 3,229,43
OX25 4,549,84
OX25 5,786,142
OX25 6,462,63
OX26 1,346,124
OX26 2,3595,254
OX26 3,2726,160
OX26 4,2280,157
OX26 5,506,46
OX26 6,4089,332
OX27 0,409,63
OX27 7,853,134
OX27 8,1146,164
OX27 9,249,43
OX28 1,3168,217
OX28 2,374,13
OX28 3,1344,67
OX28 4,749,167
OX28 5,3678,183
OX28 6,2372,230
OX29 0,612,87
OX29 4,2362,271
OX29 5,581,84
OX29 6,1056,126
OX29 7,1479,235
OX29 8,2687,270
OX29 9,1011,120
OX3  0,3701,324
OX3  7,4631,340
OX3  8,5014,330
OX3  9,3807,351
OX33 1,3270,375
OX39 4,2810,315
OX4  1,4977,389
OX4  2,3916,374
OX4  3,4792,323
OX4  4,5499,378
OX4  6,3044,280
OX4  7,2228,147
OX44 7,2234,273
OX44 9,1240,163
OX49 5,1903,295
OX5  1,5022,359
OX5  2,3646,345
OX5  3,1249,266
OX7  3,2515,275
OX7  4,674,156
OX7  5,3749,391
OX7  6,2964,374
OX7  7,870,94
OX9  2,1545,216
OX9  3,3822,389
OX9  7,436,287
PE1  1,442,358
PE1  2,3776,324
PE1  3,5414,290
PE1  4,6126,337
PE1  5,3686,350
PE10 0,4141,390
PE10 9,5272,368
PE11 1,3725,367
PE11 2,5670,362
PE11 3,5665,396
PE11 4,3652,318
PE12 0,2715,262
PE12 6,3963,351
PE12 7,3783,243
PE12 8,1965,226
PE12 9,5270,367
PE13 1,1500,240
PE13 2,3754,308
PE13 3,4636,301
PE13 4,2880,257
PE13 5,2595,244
PE14 0,2414,200
PE14 7,2443,241
PE14 8,2356,197
PE14 9,1906,221
PE15 0,3800,372
PE15 8,4641,320
PE15 9,4720,291
PE16 6,4732,333
PE19 1,2975,280
PE19 2,4302,302
PE19 5,2899,242
PE19 6,3270,315
PE19 7,2253,146
PE19 8,3153,207
PE2  5,6503,319
PE2  6,1142,217
PE2  7,1444,150
PE2  8,6093,376
PE2  9,4496,266
PE20 1,2911,257
PE20 2,1320,176
PE20 3,1922,254
PE21 0,4282,230
PE21 6,1521,265
PE21 7,3813,283
PE21 8,5307,340
PE21 9,3948,234
PE22 0,2612,268
PE22 7,1592,209
PE22 8,1712,195
PE22 9,1507,209
PE23 4,1186,164
PE23 5,2794,269
PE24 4,1892,266
PE24 5,4106,340
PE25 1,3474,302
PE25 2,4525,285
PE25 3,2801,244
PE26 1,2589,188
PE26 2,2523,200
PE27 3,3175,230
PE27 4,1024,77
PE27 5,2568,239
PE27 6,1934,115
PE28 0,2292,282
PE28 2,3948,350
PE28 3,3957,288
PE28 4,3544,364
PE28 5,3117,285
PE28 9,2738,222
PE29 1,4806,284
PE29 2,2943,243
PE29 3,1092,221
PE29 6,2129,223
PE29 7,1390,151
PE3  6,2426,381
PE3  7,2468,194
PE3  8,2867,225
PE3  9,3960,251
PE30 1,1245,260
PE30 2,3080,223
PE30 3,5921,344
PE30 4,5426,377
PE30 5,3796,276
PE31 6,4067,342
PE31 7,6566,314
PE31 8,3586,324
PE32 1,4141,354
PE32 2,3000,304
PE33 0,3419,294
PE33 9,3222,324
PE34 3,2340,234
PE34 4,3901,285
PE36 5,3413,198
PE36 6,2481,173
PE37 7,3268,279
PE37 8,1644,187
PE38 0,2145,190
PE38 9,4883,327
PE4  5,2580,124
PE4  6,5053,397
PE4  7,4960,245
PE5  7,691,65
PE6  0,2870,275
PE6  7,4035,350
PE6  8,5689,355
PE6  9,2615,211
PE7  0,69,32
PE7  1,5764,372
PE7  2,1211,169
PE7  3,6712,397
PE7  8,4009,290
PE8  4,2235,191
PE8  5,1569,238
PE8  6,3450,347
PE9  1,4370,292
PE9  2,4759,396
PE9  3,2703,299
PE9  4,2549,253
PL1  1,396,311
PL1  2,1432,258
PL1  3,3084,310
PL1  4,2751,308
PL1  5,4420,244
PL10 1,2166,210
PL11 2,3614,238
PL11 3,1341,164
PL12 4,4681,328
PL12 5,1091,174
PL12 6,3963,343
PL13 1,2452,227
PL13 2,2994,276
PL14 3,3754,357
PL14 4,2644,291
PL14 5,2647,252
PL14 6,1674,258
PL15 7,2888,310
PL15 8,3248,350
PL15 9,2896,315
PL16 0,795,124
PL17 7,2661,262
PL17 8,1880,237
PL18 9,2262,256
PL19 0,1445,240
PL19 8,2836,267
PL19 9,3359,240
PL2  1,5012,256
PL2  2,4405,256
PL2  3,4703,280
PL20 6,2220,275
PL20 7,3166,300
PL21 0,4029,382
PL21 9,3394,356
PL22 0,1808,235
PL23 1,2426,197
PL24 2,4461,291
PL25 3,5072,331
PL25 4,3926,311
PL25 5,2578,265
PL26 6,2977,251
PL26 7,4197,335
PL26 8,5163,376
PL27 6,3478,304
PL27 7,3509,325
PL28 8,3366,260
PL29 3,863,66
PL3  4,4198,303
PL3  5,3902,310
PL3  6,5358,263
PL30 3,1835,195
PL30 4,1317,210
PL30 5,1991,198
PL31 1,3582,254
PL31 2,2903,315
PL32 9,2056,189
PL33 9,806,88
PL34 0,1073,95
PL35 0,664,89
PL4  0,1565,264
PL4  6,2437,244
PL4  7,3835,229
PL4  8,3994,298
PL4  9,3763,219
PL5  1,5340,288
PL5  2,4375,247
PL5  3,4993,321
PL5  4,4265,206
PL6  5,5597,373
PL6  6,4110,288
PL6  7,3576,307
PL6  8,4269,266
PL7  1,3830,227
PL7  2,4537,263
PL7  4,3781,276
PL7  5,1082,177
PL8  1,1362,155
PL8  2,1542,206
PL9  0,1439,151
PL9  7,2240,262
PL9  8,3538,332
PL9  9,5251,351
PO1  1,2063,239
PO1  2,1545,317
PO1  3,2904,277
PO1  4,2209,203
PO1  5,4305,240
PO10 7,4500,366
PO10 8,3807,332
PO11 0,3681,288
PO11 9,4802,328
PO12 1,4600,307
PO12 2,4321,313
PO12 3,5539,304
PO12 4,7551,350
PO13 0,6937,377
PO13 8,2814,209
PO13 9,4950,340
PO14 1,3370,295
PO14 2,3429,267
PO14 3,3682,294
PO14 4,3640,302
PO15 5,3303,308
PO15 6,3473,277
PO15 7,2859,312
PO16 0,2621,306
PO16 7,3272,339
PO16 8,4640,334
PO16 9,3835,298
PO17 5,2096,237
PO17 6,709,138
PO18 0,2139,302
PO18 8,3130,357
PO18 9,801,174
PO19 1,990,330
PO19 3,2979,251
PO19 5,1137,103
PO19 6,3061,229
PO19 7,3803,279
PO19 8,2529,263
PO2  0,5323,269
PO2  7,5437,287
PO2  8,3661,253
PO2  9,3426,237
PO20 0,4248,306
PO20 1,1100,163
PO20 2,1579,179
PO20 3,2022,152
PO20 7,1764,270
PO20 8,4151,284
PO20 9,1066,100
PO21 1,3092,341
PO21 2,4614,347
PO21 3,3850,301
PO21 4,3749,309
PO21 5,3831,303
PO22 0,1630,155
PO22 6,2818,230
PO22 7,2882,276
PO22 8,2533,254
PO22 9,3392,291
PO3  5,3243,347
PO3  6,4742,231
PO30 1,3243,312
PO30 2,2373,233
PO30 3,1053,157
PO30 4,1611,189
PO30 5,4672,384
PO31 7,4399,331
PO31 8,2968,223
PO32 6,3840,283
PO33 1,4261,317
PO33 2,4020,342
PO33 3,4181,295
PO33 4,2440,206
PO34 5,1605,131
PO35 5,2116,197
PO36 0,2180,191
PO36 8,2613,210
PO36 9,3238,237
PO37 6,1852,219
PO37 7,2685,188
PO38 1,3579,319
PO38 2,1396,192
PO38 3,1796,166
PO39 0,1411,127
PO4  0,5882,291
PO4  8,6026,361
PO4  9,6970,351
PO40 9,2932,323
PO41 0,1212,170
PO5  1,4122,259
PO5  2,3829,280
PO5  3,2994,258
PO5  4,3023,186
PO6  1,3543,281
PO6  2,4613,285
PO6  3,4031,308
PO6  4,4608,319
PO7  4,562,72
PO7  5,4642,342
PO7  6,4392,349
PO7  7,3848,383
PO7  8,3902,299
PO8  0,4035,385
PO8  8,3971,281
PO8  9,6178,389
PO9  1,2653,291
PO9  2,4429,329
PO9  3,4118,262
PO9  4,4000,223
PO9  5,4024,257
PO9  6,1305,116
PR1  0,4044,231
PR1  1,1556,270
PR1  2,581,285
PR1  3,1902,323
PR1  4,3610,304
PR1  5,3956,279
PR1  6,4124,265
PR1  7,2616,234
PR1  8,2884,305
PR1  9,5629,370
PR2  1,6588,345
PR2  2,4140,338
PR2  3,6799,372
PR2  5,1140,208
PR2  6,6518,341
PR2  7,1860,102
PR2  8,3041,219
PR2  9,4635,327
PR25 1,3730,198
PR25 2,2397,159
PR25 3,2863,216
PR25 4,2681,128
PR25 5,1803,127
PR26 6,1145,98
PR26 7,2676,125
PR26 8,358,30
PR26 9,1564,103
PR3  0,3119,361
PR3  1,4779,391
PR3  2,2260,284
PR3  3,3977,306
PR3  5,1302,119
PR3  6,1098,111
PR4  0,2854,339
PR4  1,4427,302
PR4  2,3702,308
PR4  3,3608,308
PR4  4,2564,230
PR4  5,3666,282
PR4  6,4330,334
PR5  0,2472,181
PR5  4,4918,288
PR5  5,4406,264
PR5  6,4070,355
PR5  8,2261,140
PR6  0,4675,306
PR6  7,4428,367
PR6  8,2924,324
PR6  9,3329,280
PR7  1,3179,300
PR7  2,4416,290
PR7  3,3952,266
PR7  4,3034,216
PR7  5,4567,345
PR7  6,3697,266
PR7  7,2062,189
PR8  1,1919,272
PR8  2,4379,328
PR8  3,5428,315
PR8  4,4798,283
PR8  5,2758,204
PR8  6,5135,333
PR9  0,4618,342
PR9  7,4821,278
PR9  8,4760,285
PR9  9,7144,394
RG1  1,269,312
RG1  2,1846,291
RG1  3,2971,313
RG1  4,1481,304
RG1  5,3489,306
RG1  6,4094,260
RG1  7,3836,377
RG1  8,1223,258
RG10 0,2397,329
RG10 8,1621,229
RG10 9,3731,388
RG12 0,3286,137
RG12 2,2341,340
RG12 7,7578,384
RG12 8,4365,311
RG12 9,4691,375
RG14 1,3165,342
RG14 2,3483,304
RG14 3,314,29
RG14 5,2273,375
RG14 6,3562,284
RG14 7,4201,387
RG17 0,2928,364
RG17 7,1100,208
RG17 8,1472,135
RG17 9,1490,156
RG18 0,499,87
RG18 3,2660,187
RG18 4,1804,124
RG18 9,2177,281
RG19 3,3087,204
RG19 4,2946,225
RG19 8,1276,181
RG2  0,2673,373
RG2  7,4207,282
RG2  8,4882,286
RG2  9,3297,385
RG20 0,934,147
RG20 4,402,87
RG20 5,1458,131
RG20 6,624,60
RG20 7,869,154
RG20 8,1523,280
RG20 9,1963,319
RG21 3,3566,251
RG21 4,1389,221
RG21 5,3165,182
RG21 6,282,107
RG21 7,1947,293
RG21 8,1832,141
RG22 4,8294,391
RG22 5,4156,321
RG22 6,4698,308
RG23 7,2242,224
RG23 8,2872,206
RG24 7,1732,158
RG24 8,4764,386
